投票区,番号,住所,備考,名称
31,8,大阪府箕面市小野原東５丁目１８番内,小野原南３号公園 南側,No.8 小野原南３号公園 南側
32,1,大阪府箕面市粟生外院５丁目３番内,皿池公園 北側,No.1 皿池公園 北側
32,2,大阪府箕面市粟生外院３丁目７番１４号先,河原橋 北側,No.2 河原橋 北側
32,3,大阪府箕面市粟生外院４丁目２６番内,外院の里北公園 南側,No.3 外院の里北公園 南側
32,4,大阪府箕面市粟生外院１丁目１６番内,宮ノ池北公園 西側,No.4 宮ノ池北公園 西側
32,5,大阪府箕面市粟生外院１丁目１４番内,外院南公園 西側,No.5 外院南公園 西側
32,6,大阪府箕面市粟生新家２丁目５番内,店舗駐車場 西側,No.6 店舗駐車場 西側
32,7,大阪府箕面市粟生外院４丁目２番内,外院の里南公園 東側,No.7 外院の里南公園 東側
33,1,大阪府箕面市粟生新家４丁目５番先,運輸倉庫 西側,No.1 運輸倉庫 西側
33,2,大阪府箕面市粟生新家４丁目４番内,関西電力総合運動場 西側,No.2 関西電力総合運動場 西側
33,3,大阪府箕面市粟生間谷西１丁目３番先,豊川支所前バス停 東側,No.3 豊川支所前バス停 東側
33,4,大阪府箕面市粟生新家５丁目５番１号,東小学校 南側,No.4 東小学校 南側
33,5,大阪府箕面市粟生新家５丁目５番１号,東小学校 北側,No.5 東小学校 北側
33,6,大阪府箕面市粟生新家５丁目８番内,外院南１号公園 東側,No.6 外院南１号公園 東側
33,7,大阪府箕面市粟生間谷西１丁目６番内,第５駐車場 西側,No.7 第５駐車場 西側
34,1,大阪府箕面市粟生間谷西２丁目６番２０号,給水塔南側駐車場 南側 奥のフェンス,No.1 給水塔南側駐車場 南側 奥のフェンス
34,2,大阪府箕面市粟生間谷西２丁目６番内,阪急バスターミナル前,No.2 阪急バスターミナル前
34,3,大阪府箕面市粟生間谷西３丁目１番３号,東生涯学習センター,No.3 東生涯学習センター
34,4,大阪府箕面市粟生間谷西２丁目４番内,公団住宅６棟 西側,No.4 公団住宅６棟 西側
34,5,大阪府箕面市粟生間谷西２丁目３番内,仁合公園 東側,No.5 仁合公園 東側
34,6,大阪府箕面市粟生間谷西１丁目６番内,公団住宅５棟 東側,No.6 公団住宅５棟 東側
34,7,大阪府箕面市粟生間谷西１丁目６番内,公団住宅１棟西側,No.7 公団住宅１棟西側
35,1,大阪府箕面市粟生間谷西４丁目２番先,粟生団地３棟 西側,No.1 粟生団地３棟 西側
